year,round,market,subject,line,prob,actual
2025,1,player_tackles,George Hewett,3.0,0.8797595190380761,1
2025,1,player_tackles,George Hewett,5.0,0.2966404574696212,1
2025,1,player_disposals,Blake Acres,15.0,0.8654761904761905,1
2025,1,player_disposals,Blake Acres,20.0,0.5777414075286416,1
2025,1,player_disposals,Blake Acres,25.0,0.2836943441636582,0
2025,1,player_goals,Blake Acres,1.0,0.5856929955290611,1
2025,1,player_goals,Blake Acres,2.0,0.2342752962625341,0
2025,1,player_marks,Blake Acres,4.0,0.9012658227848102,1
2025,1,player_marks,Blake Acres,6.0,0.6266601082144612,0
2025,1,player_tackles,Blake Acres,3.0,0.2603781786568139,1
2025,1,player_disposals,Adam Cerra,15.0,0.7209876543209874,1
2025,1,player_disposals,Adam Cerra,20.0,0.3515358361774744,1
2025,1,player_disposals,Adam Cerra,25.0,0.1400795404330535,1
2025,1,player_goals,Adam Cerra,1.0,0.2460152460152459,0
2025,1,player_marks,Adam Cerra,4.0,0.3886059834500318,0
2025,1,player_marks,Adam Cerra,6.0,0.1195079086115992,0
2025,1,player_tackles,Adam Cerra,3.0,0.519642857142857,1
2025,1,player_tackles,Adam Cerra,5.0,0.0742987111448066,1
2025,1,player_disposals,Adam Saad,15.0,0.7209876543209874,1
2025,1,player_disposals,Adam Saad,20.0,0.3515358361774744,1
2025,1,player_disposals,Adam Saad,25.0,0.1400795404330535,0
2025,1,player_goals,Adam Saad,1.0,0.1661303298471439,0
2025,1,player_marks,Adam Saad,4.0,0.5357757560855667,0
2025,1,player_marks,Adam Saad,6.0,0.175,0
2025,1,player_tackles,Adam Saad,3.0,0.2073353293413173,0
2025,1,player_disposals,Matthew Kennedy,15.0,0.7396593673965937,1
2025,1,player_disposals,Matthew Kennedy,20.0,0.3836553945249599,1
2025,1,player_disposals,Matthew Kennedy,25.0,0.16821602478973,0
2025,1,player_goals,Matthew Kennedy,1.0,0.4670704012112036,0
2025,1,player_goals,Matthew Kennedy,2.0,0.1661303298471439,0
2025,1,player_marks,Matthew Kennedy,4.0,0.8688524590163934,1
2025,1,player_marks,Matthew Kennedy,6.0,0.5149136577708004,1
2025,1,player_tackles,Matthew Kennedy,3.0,0.6020025031289111,1
2025,1,player_tackles,Matthew Kennedy,5.0,0.0884814667198087,0
2025,1,player_disposals,Cooper Lord,15.0,0.4840478564307078,0
2025,1,player_disposals,Cooper Lord,20.0,0.1788218793828892,0
2025,1,player_disposals,Cooper Lord,25.0,0.0622406639004148,0
2025,1,player_goals,Cooper Lord,1.0,0.2941590429275156,0
2025,1,player_goals,Cooper Lord,2.0,0.0663744520976832,0
2025,1,player_marks,Cooper Lord,4.0,0.6372759856630822,0
2025,1,player_marks,Cooper Lord,6.0,0.2490039840637448,0
2025,1,player_tackles,Cooper Lord,3.0,0.4124775583482944,1
2025,1,h2h,Hawthorn,,0.9040833333333332,1
2025,1,h2h,Essendon,,0.0916666666666666,0
2025,1,total_points,total,165.5,0.4823333333333333,1
2025,1,player_disposals,Jai Newcombe,15.0,0.9694132334581772,1
2025,1,player_disposals,Jai Newcombe,20.0,0.8986409966024915,1
2025,1,player_disposals,Jai Newcombe,25.0,0.6948798328108673,1
